i, planning time [ms], traj_duration [s]
0, 0.053572, 13.8771
1, 0.01636, 13.8771
2, 0.020742, 13.8771
3, 0.016499, 13.8771
4, 0.025562, 13.8771
5, 0.01651, 13.8771
6, 0.014353, 13.8771
7, 0.010874, 13.8771
8, 0.011925, 13.8771
9, 0.011664, 13.8771
10, 0.013112, 13.8771
11, 0.012154, 13.8771
12, 0.011872, 13.8771
13, 0.012758, 13.8771
14, 0.010731, 13.8771
15, 0.009964, 13.8771
16, 0.009782, 13.8771
17, 0.010157, 13.8771
18, 0.009647, 13.8771
19, 0.011916, 13.8771
20, 0.008806, 13.8771
21, 0.010687, 13.8771
22, 0.008596, 13.8771
23, 0.009593, 13.8771
24, 0.009615, 13.8771
25, 0.011075, 13.8771
26, 0.00855, 13.8771
27, 0.009651, 13.8771
28, 0.00954, 13.8771
29, 0.011236, 13.8771
30, 0.013816, 13.8771
31, 0.011877, 13.8771
32, 0.010081, 13.8771
33, 0.009516, 13.8771
34, 0.009033, 13.8771
35, 0.012003, 13.8771
36, 0.008985, 13.8771
37, 0.013937, 13.8771
38, 0.008313, 13.8771
39, 0.009283, 13.8771
40, 0.008069, 13.8771
41, 0.008095, 13.8771
42, 0.008079, 13.8771
43, 0.010205, 13.8771
44, 0.008262, 13.8771
45, 0.007974, 13.8771
46, 0.007916, 13.8771
47, 0.009229, 13.8771
48, 0.008186, 13.8771
49, 0.007969, 13.8771
