i, planning time [ms], traj_duration [s]
0, 0.102461, 19.1901
1, 0.007669, 19.1901
2, 0.008126, 19.1901
3, 0.011563, 19.1901
4, 0.00906, 19.1901
5, 0.005504, 19.1901
6, 0.004921, 19.1901
7, 0.005356, 19.1901
8, 0.008538, 19.1901
9, 0.009109, 19.1901
10, 0.009279, 19.1901
11, 0.009429, 19.1901
12, 0.01145, 19.1901
13, 0.008303, 19.1901
14, 0.004533, 19.1901
15, 0.004906, 19.1901
16, 0.004655, 19.1901
17, 0.009247, 19.1901
18, 0.007891, 19.1901
19, 0.006887, 19.1901
20, 0.00774, 19.1901
21, 0.005376, 19.1901
22, 0.005421, 19.1901
23, 0.004677, 19.1901
24, 0.00473, 19.1901
25, 0.004643, 19.1901
26, 0.005407, 19.1901
27, 0.003562, 19.1901
28, 0.004748, 19.1901
29, 0.007537, 19.1901
30, 0.010223, 19.1901
31, 0.008755, 19.1901
32, 0.01203, 19.1901
33, 0.008446, 19.1901
34, 0.008588, 19.1901
35, 0.008591, 19.1901
36, 0.005529, 19.1901
37, 0.005476, 19.1901
38, 0.004668, 19.1901
39, 0.004658, 19.1901
40, 0.006416, 19.1901
41, 0.005596, 19.1901
42, 0.004743, 19.1901
43, 0.007545, 19.1901
44, 0.007686, 19.1901
45, 0.007879, 19.1901
46, 0.008308, 19.1901
47, 0.010084, 19.1901
48, 0.006421, 19.1901
49, 0.009343, 19.1901
