i, planning time [ms], traj_duration [s]
0, 0.083131, 20.5668
1, 0.005285, 20.5668
2, 0.006408, 20.5668
3, 0.00837, 20.5668
4, 0.007403, 20.5668
5, 0.006969, 20.5668
6, 0.007003, 20.5668
7, 0.00708, 20.5668
8, 0.005513, 20.5668
9, 0.005249, 20.5668
10, 0.007247, 20.5668
11, 0.005925, 20.5668
12, 0.005475, 20.5668
13, 0.006333, 20.5668
14, 0.007377, 20.5668
15, 0.003916, 20.5668
16, 0.006096, 20.5668
17, 0.009992, 20.5668
18, 0.006491, 20.5668
19, 0.006792, 20.5668
20, 0.020356, 20.5668
21, 0.00662, 20.5668
22, 0.005296, 20.5668
23, 0.006559, 20.5668
24, 0.006235, 20.5668
25, 0.006086, 20.5668
26, 0.006232, 20.5668
27, 0.006708, 20.5668
28, 0.005124, 20.5668
29, 0.007607, 20.5668
30, 0.008231, 20.5668
31, 0.009273, 20.5668
32, 0.005951, 20.5668
33, 0.004899, 20.5668
34, 0.005002, 20.5668
35, 0.006364, 20.5668
36, 0.005343, 20.5668
37, 0.003303, 20.5668
38, 0.004479, 20.5668
39, 0.004607, 20.5668
40, 0.004586, 20.5668
41, 0.007053, 20.5668
42, 0.005733, 20.5668
43, 0.003219, 20.5668
44, 0.004629, 20.5668
45, 0.004849, 20.5668
46, 0.006745, 20.5668
47, 0.013939, 20.5668
48, 0.009277, 20.5668
49, 0.004779, 20.5668
