i, planning time [ms], traj_duration [s]
0, 0.045262, 17.3331
1, 0.013463, 17.3331
2, 0.018522, 17.3331
3, 0.013796, 17.3331
4, 0.020003, 17.3331
5, 0.013028, 17.3331
6, 0.013575, 17.3331
7, 0.015413, 17.3331
8, 0.010874, 17.3331
9, 0.011194, 17.3331
10, 0.011534, 17.3331
11, 0.008669, 17.3331
12, 0.010169, 17.3331
13, 0.010128, 17.3331
14, 0.009774, 17.3331
15, 0.012457, 17.3331
16, 0.012851, 17.3331
17, 0.012822, 17.3331
18, 0.009934, 17.3331
19, 0.013943, 17.3331
20, 0.010057, 17.3331
21, 0.010584, 17.3331
22, 0.010479, 17.3331
23, 0.010289, 17.3331
24, 0.008927, 17.3331
25, 0.010736, 17.3331
26, 0.00928, 17.3331
27, 0.009806, 17.3331
28, 0.010391, 17.3331
29, 0.008659, 17.3331
30, 0.012572, 17.3331
31, 0.010076, 17.3331
32, 0.009519, 17.3331
33, 0.007964, 17.3331
34, 0.009564, 17.3331
35, 0.008422, 17.3331
36, 0.007984, 17.3331
37, 0.008079, 17.3331
38, 0.009621, 17.3331
39, 0.008089, 17.3331
40, 0.007975, 17.3331
41, 0.008081, 17.3331
42, 0.010606, 17.3331
43, 0.009644, 17.3331
44, 0.010066, 17.3331
45, 0.008461, 17.3331
46, 0.009695, 17.3331
47, 0.008053, 17.3331
48, 0.008379, 17.3331
49, 0.008151, 17.3331
