i, planning time [ms], traj_duration [s]
0, 0.05011, 13.8771
1, 0.017256, 13.8771
2, 0.021616, 13.8771
3, 0.019472, 13.8771
4, 0.024151, 13.8771
5, 0.017478, 13.8771
6, 0.019238, 13.8771
7, 0.017869, 13.8771
8, 0.01772, 13.8771
9, 0.017427, 13.8771
10, 0.019709, 13.8771
11, 0.01706, 13.8771
12, 0.020115, 13.8771
13, 0.018965, 13.8771
14, 0.020251, 13.8771
15, 0.016406, 13.8771
16, 0.017222, 13.8771
17, 0.017386, 13.8771
18, 0.016343, 13.8771
19, 0.016336, 13.8771
20, 0.016371, 13.8771
21, 0.014867, 13.8771
22, 0.01128, 13.8771
23, 0.013391, 13.8771
24, 0.015069, 13.8771
25, 0.014287, 13.8771
26, 0.012753, 13.8771
27, 0.011668, 13.8771
28, 0.012549, 13.8771
29, 0.016267, 13.8771
30, 0.018009, 13.8771
31, 0.012504, 13.8771
32, 0.012426, 13.8771
33, 0.011328, 13.8771
34, 0.012287, 13.8771
35, 0.016283, 13.8771
36, 0.012388, 13.8771
37, 0.014247, 13.8771
38, 0.012597, 13.8771
39, 0.014383, 13.8771
40, 0.012515, 13.8771
41, 0.012506, 13.8771
42, 0.012628, 13.8771
43, 0.017888, 13.8771
44, 0.012875, 13.8771
45, 0.012555, 13.8771
46, 0.012441, 13.8771
47, 0.015362, 13.8771
48, 0.012524, 13.8771
49, 0.011244, 13.8771
