i, planning time [ms], traj_duration [s]
0, 0.097623, 19.1901
1, 0.006105, 19.1901
2, 0.007024, 19.1901
3, 0.009682, 19.1901
4, 0.00985, 19.1901
5, 0.008355, 19.1901
6, 0.014, 19.1901
7, 0.00505, 19.1901
8, 0.007296, 19.1901
9, 0.0071, 19.1901
10, 0.007536, 19.1901
11, 0.007968, 19.1901
12, 0.007849, 19.1901
13, 0.008101, 19.1901
14, 0.005971, 19.1901
15, 0.008291, 19.1901
16, 0.007966, 19.1901
17, 0.008848, 19.1901
18, 0.008327, 19.1901
19, 0.015449, 19.1901
20, 0.008426, 19.1901
21, 0.006205, 19.1901
22, 0.007863, 19.1901
23, 0.008062, 19.1901
24, 0.010656, 19.1901
25, 0.007489, 19.1901
26, 0.008185, 19.1901
27, 0.006371, 19.1901
28, 0.007526, 19.1901
29, 0.006905, 19.1901
30, 0.009709, 19.1901
31, 0.004932, 19.1901
32, 0.004751, 19.1901
33, 0.004734, 19.1901
34, 0.004647, 19.1901
35, 0.006514, 19.1901
36, 0.005463, 19.1901
37, 0.007681, 19.1901
38, 0.004788, 19.1901
39, 0.00468, 19.1901
40, 0.004627, 19.1901
41, 0.006532, 19.1901
42, 0.003317, 19.1901
43, 0.004505, 19.1901
44, 0.004783, 19.1901
45, 0.004663, 19.1901
46, 0.004574, 19.1901
47, 0.004653, 19.1901
48, 0.003273, 19.1901
49, 0.006403, 19.1901
