iteration, success, error
0, 1, 0
1, 1, 0
2, 1, 0
3, 1, 0
4, 1, 0
5, 1, 0
6, 1, 0
7, 1, 0
8, 1, 0
9, 1, 0
10, 0, 0
11, 1, 0
12, 1, 0
13, 1, 0
14, 0, 0
15, 0, 0
16, 1, 0
17, 1, 0
18, 1, 0
19, 0, 0
