iteration, success, error
0, 1, 0
1, 0, 0
2, 0, 0
3, 0, 0
4, 1, 0
5, 0, 0
6, 1, 0
7, 0, 0
8, 0, 0
9, 0, 0
10, 1, 0
11, 1, 0
12, 0, 0
13, 1, 0
14, 1, 0
15, 1, 0
16, 1, 0
17, 0, 0
18, 0, 0
19, 0, 0
